2016-05-18T18:22:43.7963787-05:00 Temp1 45.67
2016-05-18T18:22:43.7963787-05:00 Temp2 46.78
2016-05-18T18:22:43.7963787-05:00 Temp3 47.89
2016-05-18T18:22:43.7963787-05:00 Temp4 48.90
2016-05-18T18:22:43.7963787-05:00 Humid1 98.76
2016-05-18T18:22:43.7963787-05:00 Humid2 97.65
2016-05-18T18:22:43.7963787-05:00 Humid3 96.54
2016-05-18T18:22:43.7963787-05:00 Humid4 95.43

2016-05-18T18:22:45.7963787-05:00 Temp1 45.67
2016-05-18T18:22:45.7963787-05:00 Temp2 46.78
2016-05-18T18:22:45.7963787-05:00 Temp3 47.89
2016-05-18T18:22:45.7963787-05:00 Temp4 48.90
2016-05-18T18:22:45.7963787-05:00 Humid1 98.76
2016-05-18T18:22:45.7963787-05:00 Humid2 97.65
2016-05-18T18:22:45.7963787-05:00 Humid3 96.54
2016-05-18T18:22:45.7963787-05:00 Humid4 95.43

2016-05-18T18:22:47.7963787-05:00 Temp1 45.67
2016-05-18T18:22:47.7963787-05:00 Temp2 46.78
2016-05-18T18:22:47.7963787-05:00 Temp3 47.89
2016-05-18T18:22:47.7963787-05:00 Temp4 48.90
2016-05-18T18:22:47.7963787-05:00 Humid1 98.76
2016-05-18T18:22:47.7963787-05:00 Humid2 97.65
2016-05-18T18:22:47.7963787-05:00 Humid3 96.54
2016-05-18T18:22:47.7963787-05:00 Humid4 95.43

2016-05-18T18:22:49.7963787-05:00 Temp1 45.67
2016-05-18T18:22:49.7963787-05:00 Temp2 46.78
2016-05-18T18:22:49.7963787-05:00 Temp3 47.89
2016-05-18T18:22:49.7963787-05:00 Temp4 48.90
2016-05-18T18:22:49.7963787-05:00 Humid1 98.76
2016-05-18T18:22:49.7963787-05:00 Humid2 97.65
2016-05-18T18:22:49.7963787-05:00 Humid3 96.54
2016-05-18T18:22:49.7963787-05:00 Humid4 95.43
